Schritt;Mode;PARA_1;PARA_2;PARA_3;HEIGHT [mm];MODE;SPEED [mm/s];INDEX [mm];MODE;;
1;Alip;0;0;XYT;0,0000;H;0,0;0,0000;R;;Fahre 0 an
2;Idx0 Y;0;0;0;0,0000;H;0,0;1,5000;R;;Versatz um Außenbreite
3;Achop;1000000;10000000;0;0,3550;H;15,0;0,0000;R;;Schneide 10mm lang
4;Idx Y;0;0;0;0,0000;H;0,0;0,0500;R;;Verfahre um Versatzbreite
5;Loop;14;3;0;0,0000;H;0,0;0,0000;R;;Wiederhole bis Schnittbreite 1 erreicht
6;Idx Y;0;0;0;0,0000;H;0,0;1,5000;R;;Versatz um Zungenbreite
7;Achop;1000000;10000000;0;0,3550;H;15,0;0,0000;R;;Schneide 10mm lang
8;Idx Y;0;0;0;0,0000;H;0,0;0,0500;R;;Verfahre um Versatzbreite
9;Loop;29;7;0;0,0000;H;0,0;0,0000;R;;Wiederhole bis Schnittbreite 2 erreicht
10;Idx Y;0;0;0;0,0000;H;0,0;1,5000;R;;Versatz um Zungenbreite
11;Loop;2;6;0;0,0000;H;0,0;0,0000;R;;Wiederhole Schnitt 2 noch einmal
12;Achop;1000000;10000000;0;0,3550;H;0,0;0,0000;R;;Schneide 10mm lang
13;Idx Y;0;0;0;0,0000;H;0,0;0,0500;R;;Verfahre um Versatzbreite
14;Loop;14;12;0;0,0000;H;0,0;0,0000;R;;Wiederhole bis Schnittbreite 1 erreicht
15;Alip;0;0;XYT;0,0000;H;0,0;0,0000;R;;Fahre 0 an
16;Idx X;0;0;0;0,0000;H;0,0;22,1000;R;;Fahre 22,1mm hinein
17;Loop;2;2;0;0,0000;H;0,0;0,0000;R;;Wiederhole alle Schnitte auf der rechten Seite noch einmal
18;Idx X;0;0;0;0,0000;H;0,0;-22,1000;R;;Fahre 22,1mm zurück
19;Idx Y;0;0;0;0,0000;H;0,0;3,1000;R;;Lasse den Versatz aus
20;Loop;2;3;0;0,0000;H;0,0;0,0000;R;;Führe alle Schritte noch einmal aus (oberes Aktorpaar)
21;Alip;0;0;XYT;0,0000;H;0,0;0,0000;R;;Fahre 0 an
22;Idx T;0;0;0;0,0000;H;0,0;90,0000;R;;Drehe um 90°
23;Idx Y;0;0;0;0,0000;H;0,0;10,0000;R;;Versatz um Zungenlänge
24;Achop;1000000;24000000;0;0,3550;H;15,0;0,0000;R;;Schnittlänge ist 2x Aktorbreite
25;Idx Y;0;0;0;0,0000;H;0,0;0,0500;R;;Verfahre um Versatzbreite
26;Loop;19;24;0;0,0000;H;0,0;0,0000;R;;Wiederhole bis Schnittbreite 3 erreicht
27;Idx Y;0;0;0;0,0000;H;0,0;22,1000;R;;Versatz um zweifache Massenbreite
28;Loop;2;24;0;0,0000;H;0,0;0,0000;R;;Führe noch einmal aus (oberes Aktorpaar)
29;End;0;0;0;0,0000;H;0,0;0,0000;R;;End
30;End;0;0;0;0,0000;H;0,0;0,0000;R;;End
